2,0.00338,0.00373,0.00297,0.00276,0.00321,0.321
6,0.0197,0.02086,0.03036,0.02234,0.023315,2.3315
10,0.07946,0.07284,0.07676,0.07718,0.07656,7.656
14,0.13386,0.14802,0.16312,0.14974,0.148685,14.8685
18,0.27216,0.2088,0.22892,0.24716,0.23926,23.926
22,0.30014,0.27826,0.25502,0.3162,0.287405,28.7405
26,0.3943,0.34606,0.3945,0.32596,0.365205,36.5205
30,0.34872,0.37056,0.38764,0.35986,0.366695,36.6695
34,0.4126,0.39136,0.27156,0.36642,0.360485,36.0485
38,0.39352,0.3643,0.38944,0.33104,0.369575,36.9575
42,0.43466,0.44332,0.41824,0.44266,0.43472,43.472
46,0.49854,0.41396,0.45064,0.508,0.467785,46.7785
50,0.5818,0.56764,0.56468,0.55898,0.568275,56.8275
54,0.61598,0.57734,0.59252,0.59316,0.59475,59.475
58,0.62802,0.62028,0.63908,0.61848,0.626465,62.6465
62,0.6599,0.65418,0.65928,0.66268,0.65901,65.901
66,0.68952,0.69236,0.67196,0.6845,0.684585,68.4585
70,0.70428,0.7095,0.70858,0.69962,0.705495,70.5495
74,0.72524,0.72338,0.72548,0.72272,0.724205,72.4205
78,0.73968,0.73994,0.74048,0.7384,0.739625,73.9625
82,0.7508,0.75078,0.7487,0.7508,0.75027,75.027
86,0.75262,0.75276,0.75096,0.75202,0.75209,75.209
90,0.75948,0.76106,0.75928,0.7594,0.759805,75.9805
